Coral Type,Site,Year,Depletion Rate,latitude,longitude,Number of Records
Sea Fans,site08,2014,0.3984,-16.091,145.715,1
Sea Fans,site01,2015,0.4687,-11.843,143.515,1
Sea Fans,site02,2015,0.5021,-18.937,147.898,1
Sea Fans,site03,2015,0.3245,-10.321,144.081,1
Sea Fans,site04,2015,0.3078,-20.414,150.444,1
Sea Fans,site05,2015,0.4223,-13.107,143.786,1
Sea Fans,site06,2015,0.6075,-17.981,146.589,1
Sea Fans,site07,2015,,-14.383,145.043,1
Sea Fans,site08,2015,0.4089,-16.091,145.715,1
Sea Fans,site01,2016,0.4712,-11.843,143.515,1
Sea Fans,site02,2016,0.5432,-18.937,147.898,1
Sea Fans,site03,2016,0.5021,-10.321,144.081,1
Sea Fans,site04,2016,0.6523,-20.414,150.444,1
Sea Fans,site05,2016,0.4623,-13.107,143.786,1
Sea Fans,site06,2016,0.7564,-17.981,146.589,1
Sea Fans,site07,2016,,-14.383,145.043,1
Sea Fans,site08,2016,0.4532,-16.091,145.715,1
Sea Fans,site01,2017,0.4732,-11.843,143.515,1
Sea Fans,site02,2017,0.5632,-18.937,147.898,1
Sea Fans,site03,2017,0.7523,-10.321,144.081,1
Sea Fans,site04,2017,0.7789,-20.414,150.444,1
Sea Fans,site05,2017,0.4834,-13.107,143.786,1
Sea Fans,site06,2017,0.8645,-17.981,146.589,1
Sea Fans,site07,2017,,-14.383,145.043,1
Sea Fans,site08,2017,0.4823,-16.091,145.715,1
Sea Pens,site01,2010,0.0533,-11.843,143.515,1
Sea Pens,site02,2010,,-18.937,147.898,1
Sea Pens,site03,2010,,-10.321,144.081,1
Sea Pens,site04,2010,0.2699,-20.414,150.444,1
Sea Pens,site05,2010,0.3019,-13.107,143.786,1
Sea Pens,site06,2010,0.4798,-17.981,146.589,1
Sea Pens,site07,2010,0.2556,-14.383,145.043,1
Sea Pens,site08,2010,,-16.091,145.715,1
Sea Pens,site01,2011,0.0812,-11.843,143.515,1
Sea Pens,site02,2011,,-18.937,147.898,1
Sea Pens,site03,2011,,-10.321,144.081,1
Sea Pens,site04,2011,0.2901,-20.414,150.444,1
Sea Pens,site05,2011,0.3467,-13.107,143.786,1
Sea Pens,site06,2011,0.4901,-17.981,146.589,1
Sea Pens,site07,2011,0.301,-14.383,145.043,1
Sea Pens,site08,2011,,-16.091,145.715,1
Sea Pens,site01,2012,0.0851,-11.843,143.515,1
Sea Pens,site02,2012,0.2861,-18.937,147.898,1
Sea Pens,site03,2012,0.0859,-10.321,144.081,1
Sea Pens,site04,2012,0.2918,-20.414,150.444,1
Sea Pens,site05,2012,0.3479,-13.107,143.786,1
Sea Pens,site06,2012,0.4911,-17.981,146.589,1
Sea Pens,site07,2012,0.3035,-14.383,145.043,1
Sea Pens,site08,2012,0.0371,-16.091,145.715,1
Sea Pens,site01,2013,0.0876,-11.843,143.515,1
Sea Pens,site02,2013,0.289,-18.937,147.898,1
Sea Pens,site03,2013,0.0879,-10.321,144.081,1
Sea Pens,site04,2013,0.3076,-20.414,150.444,1
Sea Pens,site05,2013,0.3512,-13.107,143.786,1
Sea Pens,site06,2013,0.5023,-17.981,146.589,1
Sea Pens,site07,2013,0.3248,-14.383,145.043,1
Sea Pens,site08,2013,0.0389,-16.091,145.715,1
